0:0:0:0:0:0:0:1 - - [31/May/2021:16:21:50 +0530] "GET /FlightSearchWebSpring/login?authorized=true&user=Aashita HTTP/1.1" 200 4009
0:0:0:0:0:0:0:1 - - [31/May/2021:16:21:50 +0530] "GET /FlightSearchWebSpring/css/bootstrap.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [31/May/2021:16:22:00 +0530] "POST /FlightSearchWebSpring/login HTTP/1.1" 200 4196
0:0:0:0:0:0:0:1 - - [31/May/2021:16:22:00 +0530] "GET /FlightSearchWebSpring/css/bootstrap.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [31/May/2021:16:22:02 +0530] "GET /FlightSearchWebSpring/login?authorized=true&user=Aashita HTTP/1.1" 200 4009
0:0:0:0:0:0:0:1 - - [31/May/2021:16:22:08 +0530] "GET /FlightSearchWebSpring/forgotpassword HTTP/1.1" 200 5039
0:0:0:0:0:0:0:1 - - [31/May/2021:16:22:08 +0530] "GET /FlightSearchWebSpring/css/bootstrap.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [31/May/2021:16:23:25 +0530] "POST /FlightSearchWebSpring/forgotpassword HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/May/2021:16:23:25 +0530] "GET /FlightSearchWebSpring/login?authorized=true&user=Admin HTTP/1.1" 200 4009
0:0:0:0:0:0:0:1 - - [31/May/2021:16:23:25 +0530] "GET /FlightSearchWebSpring/css/bootstrap.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [31/May/2021:16:23:33 +0530] "POST /FlightSearchWebSpring/login HTTP/1.1" 200 4196
0:0:0:0:0:0:0:1 - - [31/May/2021:16:23:33 +0530] "GET /FlightSearchWebSpring/css/bootstrap.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [31/May/2021:16:28:27 +0530] "GET /FlightSearchWebSpring/ HTTP/1.1" 200 4009
0:0:0:0:0:0:0:1 - - [31/May/2021:16:28:27 +0530] "GET /FlightSearchWebSpring/css/bootstrap.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [31/May/2021:16:28:46 +0530] "POST /FlightSearchWebSpring/login HTTP/1.1" 200 5008
